,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
206,Esmond,1,0,1,0,1
207,FAMILY  DOLLAR  #5834,1,1,0,0,1
208,FAMILY DEN,1,1,0,0,1
209,FAMOUS GRILL,1,0,1,1,0
210,FARM BAR RAVENSWOOD,3,2,1,0,3
211,FAT ALBERT,1,1,0,0,1
212,FAT POUR,1,1,0,0,1
213,FATSO HARD KITCHEN,1,0,1,0,1
214,FERNANDO'S RESTAURANT,1,0,1,1,0
215,FESTI BOWL,1,0,1,1,0
216,FIORETTA,1,0,1,0,1
217,FIRST START CHILDCARE ACADEMY,1,0,1,1,0
218,"FITTINGLY DELICIOUS, LLC",1,0,1,0,1
219,"FIXIN' FRANKS, LLC",1,0,1,1,0
220,FLACO'S TACOS,1,1,0,0,1
221,FLIK INTERNATIONAL,1,1,0,0,1
222,FLY GIRL FLY,3,0,3,2,1
223,FONTANO SUBS,1,0,1,0,1
224,FOOD LIFE / FOODEASE,1,0,1,1,0
225,FOODSMART,1,0,1,1,0
226,FORNO ROSSO ON RANDOLPH,2,1,1,1,1
227,FOXTROT,1,0,1,1,0
228,FRANCONELLO'S,1,0,1,0,1
229,FRANK FOOD MARKET,1,0,1,1,0
230,FRESCO DELICIOSO,1,1,0,0,1
231,FRY THE COOP,1,0,1,1,0
232,FUEL BAR,1,0,1,0,1
233,FUNG'S CHOP SUEY,2,1,1,1,1
234,FUNNEL CAKE & ICEE MAN,1,1,0,0,1
235,Fenger Acad. (H/S)(Board of Education),1,0,1,0,1
236,Food 4 Less Midwest #552,2,1,1,1,1
237,G & O,1,0,1,1,0
238,GAIJIN,2,1,1,1,1
239,GARCIA'S INC,2,1,1,1,1
240,GARRETT POPCORN SHOP MDW-B,1,0,1,0,1
241,GARRETT POPCORN SHOP MDW-CM,1,0,1,0,1
242,GATEWAY TO LEARNING,1,1,0,0,1
243,GATEWAY TO LEARNING SPECIAL EDUCATION AND TRAINING,1,1,0,0,1
244,GENE'S BISTRO/BIG BOWL/TALL BOY,1,0,1,0,1
245,GERTIE'S ICE CREAM INC,1,1,0,0,1
246,GHAREEB NAWAZ,1,0,1,0,1
247,GILT BAR/ DOUGHNUT VAULT/ CICCIO MIO,1,0,1,1,0
248,GINA'S CHICKEN,1,0,1,1,0
249,GIORDANO'S GREEKTOWN,1,0,1,0,1
250,GIORDANO'S RESTAURANT,2,0,2,1,1
251,GOLDEN DRAGON CHINESE RESTAURANT,1,0,1,1,0
252,GOMEZ TACOS REST,1,1,0,0,1
253,GOOD FOODS HEALTH CENTER LLC,1,1,0,0,1
254,GOODTIMES BREWERY,1,0,1,1,0
255,GOOSE ISLAND BEER COMPANY,4,1,3,0,4
256,GORDITAS ADRIAN'S,1,0,1,1,0
257,GRANADO'S SUPERMERCADO,1,1,0,1,0
258,GRAND REGENCY OF SOUTH SHORE,6,0,6,4,2
259,GRANVILLE GROCERIES,1,0,1,0,1
260,"GROWING SEEDS PRESCHOOL,LLC.",1,1,0,0,1
261,GWENDOLYN BROOKS PREP,1,1,0,1,0
262,"GYRO GRILL MG, INC",1,0,1,0,1
263,GZN INFANT SUITE,1,0,1,0,1
264,"Green, W.",1,0,1,1,0
265,HAIRE'S GULF SHRIMP,1,0,1,1,0
266,HALAL PIZZA & CHICKEN INC,1,0,1,1,0
267,HALE FAMILY MCDONALD'S,2,0,2,1,1
268,HALSTED STREET DELI,2,2,0,1,1
269,HAMPTON INN/HILTON GARDEN INN/HOME 2 SUITES,2,0,2,2,0
270,HAPPINESS RESTAURANT,1,0,1,1,0
271,HARRY CARAY'S SHORTSTOP,1,0,1,0,1
272,HARTGROVE HOSPITAL,1,0,1,0,1
273,HELEN BOROWICZ,1,0,1,1,0
274,HERITAGE WOODS OF CHICAGO,2,0,2,1,1
275,"HIGHER LEARNING DAYCARE & EDUCATION CENTER, INCORPORATED",1,0,1,0,1
276,HILLIARD APARTMENTS,2,1,1,1,1
277,HILTON CHICAGO MAGNIFICENT MILE SUITES,1,0,1,0,1
278,HK BANQUET,2,1,1,0,2
279,"HOANH LONG RESTAURANT, INC.",1,0,1,0,1
280,HONG KONG DELIGHT IV,2,1,1,1,1
281,"HOOTS OF SOUTH LOOP, INC.",1,1,0,1,0
282,HORSE THIEF HOLLOW,1,0,1,1,0
283,HOT DOG STATION,1,0,1,1,0
284,HUARACHES DONA CHIO,1,1,0,0,1
285,HUNAN EGG ROLL KING,2,1,1,1,1
286,HYDE PARK BP AM PM,1,1,0,0,1
287,"HYDE PARK PRODUCE, LTD",1,0,1,1,0
288,"Haley, Alex",1,0,1,1,0
289,"Haley, Alex  Mod.",2,1,1,1,1
290,Hannah G.Solomon Elementary  School,1,1,0,0,1
291,Harlan Comm.,1,0,1,1,0
292,Higgins Community,1,1,0,0,1
293,Horace Mann Elementary,1,0,1,0,1
294,Howl at the Moon,2,1,1,1,1
295,IDOF FRESH MEDITERRANEAN,1,1,0,0,1
296,IKIGAI SUSHI & IZAKAYA,1,0,1,1,0
297,IL CULACCINO,1,1,0,1,0
298,ILLINOIS CENTER FOR REHABILITATION AND EDUCATION-R,2,1,1,1,1
299,IMPERIAL RESTAURANT,1,0,1,0,1
300,"INA MAE TAVERN & PACKAGED GOODS, INC",1,0,1,1,0
301,INDIAN FUSION,2,1,1,1,1
302,"INES RESTAURANTE, CORP.",1,1,0,1,0
303,IRON AGE CHICAGO,2,1,1,2,0
304,"ITALIAN FIESTA PIZZERIA, INC",1,1,0,0,1
305,IVY GARDEN COMMUNITY CENTER,2,0,2,0,2
306,IVY GARDEN LEARNING CENTER LLC HALSTED,1,0,1,0,1
307,J & J FISH & CHICKEN,2,0,2,0,2
308,J & N INC,1,0,1,1,0
309,JAKE MELNICK'S CORNER TAP,1,0,1,0,1
310,JAMAICA JERK CHOICE,1,0,1,0,1
311,JAMES G.BLAINE ELEMENTARY SCHOOL,1,0,1,1,0
312,JAMES SHIELDS MIDDLE SCHOOL,1,0,1,0,1
313,JAYAKA CORPORATION,1,0,1,1,0
314,JEANE KENNEY YMCA DAY CARE,2,1,1,1,1
315,JERSEY MIKES,2,1,1,1,1
316,JET'S PIZZA,5,1,4,3,2
317,JEWEL FOOD STORE,1,1,0,0,1
318,JEWEL FOOD STORE #3082,2,1,1,1,1
319,JEWEL FOOD STORE #3114,1,1,0,0,1
320,JEWEL FOOD STORE #3344,1,0,1,1,0
321,JEWEL FOOD STORE #3407,1,1,0,0,1
322,JIMMY JOHN'S,1,0,1,1,0
323,JIMMY JOHNS,1,1,0,0,1
324,JJ FISH,1,1,0,1,0
325,JOE'S & KEN'S II,1,0,1,0,1
326,JOE'S BREAKFAST & GRILL,1,0,1,1,0
327,JOJIGYROS786 INC,1,0,1,0,1
328,JOKER'S CAJUN SMOKEHOUSE,1,0,1,1,0
329,JOSEPH WARREN ELEMENTARY,1,1,0,0,1
330,JUBILEE JUICE AND GRILL,1,0,1,1,0
331,JUST JERK CAFE,2,0,2,1,1
332,JUST TURKEY GRILL,1,1,0,1,0
333,KABABISH BBQ & GRILL,1,0,1,1,0
334,KARMA MINI MART,1,1,0,0,1
335,KASAMA,1,1,0,1,0
336,KENTUCKY FRIED CHICKEN  #5286,1,0,1,0,1
337,KEXIN RESTAURANT,1,1,0,0,1
338,KFC,1,0,1,1,0
339,KIDDIE GARDEN LITTLE ANGELS,1,0,1,0,1
340,KILMER  ELEMENTARY,1,1,0,1,0
341,KINGS KIDDIE KINGDOM III,1,0,1,0,1
342,KINTON RAMEN1,1,0,1,1,0
343,KISBI COFFEE,1,0,1,1,0
344,KIZAMI,1,1,0,0,1
345,KUBO,1,0,1,0,1
346,KUKULU MARKET,2,1,1,1,1
347,KUNG FU TEA,1,0,1,1,0
348,Katten Chicago 22nd Floor Cafe,1,1,0,0,1
349,L & G FAMILY RESTAURANT INC,1,1,0,1,0
350,L'APPETITO IMP ITALIAN FDS INC,1,0,1,1,0
351,LA BARCA LLC,2,0,2,1,1
352,LA ESCUELITA NUMERO CUATRO,2,1,1,1,1
353,LA ESMERALDA MICHOACANA,1,0,1,1,0
354,LA FIESTA RESTAURANT,3,2,1,2,1
355,LA GUERITA MEXICAN SHACK,1,0,1,0,1
356,LA LOMITA PRODUCE MARKET LLC,1,0,1,1,0
357,LA MALINCHE COFFEE HOUSE LLC,1,0,1,0,1
358,LA MICHOACANA Y MAS INC.,1,0,1,1,0
359,LA MICHOACANA Y YO,1,0,1,0,1
360,LA PLACITA,2,0,2,1,1
361,LA QUEBRADA #5,1,0,1,0,1
362,"LA SALLE CAFE LUNA, INC.",2,0,2,1,1
363,LA VINA DEL MAR,1,0,1,0,1
364,LAKEVIEW PRESCHOOL ACADEMY,1,0,1,0,1
365,LAND AND LAKE KITCHEN ANDERSONVILLE,1,0,1,1,0
366,LAND AND LAKE RAVENSWOOD,2,1,1,1,1
367,LARK,1,0,1,0,1
368,LAS ESPERANZAS,1,0,1,0,1
369,LAS PALMAS,1,0,1,1,0
370,LAS TOXICAS #2,2,0,2,1,1
371,LAWNDALE COMMUNITY ACADEMY,2,0,2,2,0
372,LE PIANO,1,0,1,1,0
373,LEARN TOGETHER GROW TOGETHER CHILD DEVELOPMENT CEN,1,0,1,0,1
374,LEMONS ENTERPRISES INC.,1,0,1,0,1
375,LIFE LLC,2,1,1,1,1
376,LILY SUPERMARKET,1,1,0,0,1
377,"LITTLE CAESAR ENTERPRISES, INC.",1,0,1,1,0
378,LITTLE CAESAR PIZZA #1715,2,1,1,1,1
379,LITTLE CAESARS,1,0,1,0,1
380,LITTLE FEET BIG STEPS CENTER,1,1,0,0,1
381,"LITTLE LEADERS LEARNING ACADEMY, INC.",1,0,1,1,0
382,LITTLE SANDWICH HOUSE,1,1,0,1,0
383,LITTLE TACO CESAR LA GUERITA MEXICAN SNACKS,1,1,0,0,1
384,LOLA'S RESTAURANT AND BAR,1,1,0,0,1
385,LOREN CHILDREN LEARNING CENTER,2,1,1,1,1
386,LOS BARRILES,1,1,0,0,1
387,LOS CHEPES,1,1,0,0,1
388,LOS MANGOS,1,1,0,0,1
