,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
275,63RD DISCOUNT,3,1,2,2,1
276,63RD FOOD & LIQUOR,4,1,3,2,2
277,63RD FOOD & MORE INC.,2,0,2,2,0
278,63RD FOOD MART,3,1,2,2,1
279,"63RD FOOD MART, INC",4,2,2,4,0
280,"63RD FOODS MART #1, INC.",2,1,1,1,1
281,"63RD FOODS MART #2, INC.",5,1,4,2,3
282,63RD FRIED RICE,5,1,4,4,1
283,63RD QUICK STOP,10,2,8,7,3
284,63rd GROCERY,3,0,3,2,1
285,65 ASIAN KITCHKEN,7,4,3,2,5
286,65 EXPRESS,8,3,5,5,3
287,65 POKE,7,2,5,5,2
288,65TH FOODS CORP,2,0,2,1,1
289,666 FOOD MART INC.,5,2,3,4,1
290,66TH ST MARKET,3,0,3,3,0
291,67 SEAFOOD MARKET,4,2,2,2,2
292,67TH CITGO,4,0,4,3,1
293,67TH FOOD MART,6,2,4,4,2
294,67TH MATATHON INC.,3,2,1,2,1
295,"67TH ONE STOP FOOD & LIQUOR, INC.",20,6,14,11,9
296,67TH QUICK MART,2,0,2,2,0
297,"67TH ST MARKET, INC.",2,1,1,2,0
298,67TH WENTWORTH SHELL,4,1,3,3,1
299,69 FOOD MART INC,2,1,1,1,1
300,69 LOOMIS FOOD MARKET,7,3,4,4,3
301,694 WINE & SPIRITS,4,0,4,3,1
302,6978 SOUL FOOD,26,9,17,16,10
303,"69TH HALSTED FOOD MART, INC.",3,1,2,2,1
304,69th Grocery Store,6,0,6,4,2
305,7 -  ELEVEN  #33526,14,5,9,6,8
306,7 - ELEVEN,62,23,39,30,32
307,7 - ELEVEN # 33582,2,0,2,2,0
308,7 -ELEVEN #33841,4,1,3,2,2
309,7 DAYS FOOD MART,6,2,4,3,3
310,"7 DAYS OF CHICAGO, INC.",4,1,3,2,2
311,7 DAYS RESTAURANT,6,1,5,4,2
312,7 ELEVEN,29,10,19,13,16
313,7 ELEVEN # 30099M,5,2,3,3,2
314,7 ELEVEN # 33727A,21,10,11,7,14
315,7 ELEVEN # 36881A,5,3,2,0,5
316,7 ELEVEN #27421J,8,3,5,5,3
317,7 ELEVEN #29150E,12,8,4,4,8
318,7 ELEVEN #29726J,5,3,2,3,2
319,7 ELEVEN #33067H,5,3,2,2,3
320,7 ELEVEN #33508,4,1,3,2,2
321,7 ELEVEN #33582B,18,6,12,9,9
322,7 ELEVEN #33591J,3,0,3,1,2
323,7 ELEVEN #33726A,19,9,10,5,14
324,7 ELEVEN #33729A,20,9,11,11,9
325,7 ELEVEN #33809J,6,2,4,3,3
326,7 ELEVEN #33843,9,2,7,5,4
327,7 ELEVEN #33854B,10,2,8,5,5
328,7 ELEVEN #33875H,3,2,1,1,2
329,7 ELEVEN #34133A,22,8,14,12,10
330,7 ELEVEN #34724A,3,2,1,1,2
331,7 ELEVEN #34724J,5,2,3,2,3
332,7 ELEVEN #3489104,19,10,9,7,12
333,7 ELEVEN #35015H,10,1,9,7,3
334,7 ELEVEN #35504A,15,5,10,7,8
335,7 ELEVEN #35632,5,3,2,2,3
336,7 ELEVEN #35632A,8,4,4,3,5
337,7 ELEVEN #35750H,12,3,9,8,4
338,7 ELEVEN #35978H,5,2,3,3,2
339,7 ELEVEN #36033A,12,5,7,4,8
340,7 ELEVEN #36793 A,13,7,6,8,5
341,7 ELEVEN 33591H,7,2,5,3,4
342,7 Eleven #33734H,7,3,4,5,2
343,7 Eleven #33956 J,4,1,3,1,3
344,7 LIONS BAR AND CELLAR,14,7,7,9,5
345,"7 MARES, INC.",5,1,4,4,1
346,7 PLATES CAFE,6,1,5,5,1
347,7 SEAS DOLLAR & FOOD,2,0,2,1,1
348,7 SEAS FOOD & DELI INC.,5,2,3,4,1
349,7 SEAS FOOD & MEAT MART,23,10,13,15,8
350,"7 SEAS FOOD & MEAT MART, INC",2,1,1,1,1
351,"7 SEAS SUPERMARKET,INC.",4,0,4,3,1
352,7 STARS FOOD & TOBACCO INC.,2,1,1,1,1
353,7- ELEVEN,58,24,34,23,35
354,7- ELEVEN #33509J,3,1,2,1,2
